Tuesday AM,Tuesday PM,Wed AM,Wed PM
A1,A11,A26,C6
A2,A12,A27,C7
A3,A13,A28,C8
A4,A14,A29,C9
A5,A15,A30,C10
A6,A16,B25,C11
A7,A17,B26,C12
A8,A18,B27,C13
A9,A19,B28,C14
A10,A20,B29,C15
B1,A21,B30,C16
B2,A22,C1,C17
B3,A23,C2,C18
B4,A24,C3,C19
B5,A25,C4,C20
B6,B1,C5,D5
B7,B2,D1,D6
B8,B3,D2,D7
B9,B4,D3,D8
B10,B5,D4,D9
,B6,,D10
,B7,,D11
,B8,,D12
,B9,,D13
,B10,,D14
,B11,,D15
,B12,,D16
,B13,,D17
,B14,,D18
,B15,,D19
,B16,,
,B17,,
,B18,,
,B19,,
,B20,,
,B21,,
,B22,,
,B23,,
,B24,,
